email_id,folder_pretty
0,corporate
1,personal
2,dra info
3,enron updates
4,enron news
5,mclaughlin jr errol > eol & tagg
6,deleted items > fyi
7,organizational announcements
8,ljm
9,corp memos
10,mclaughlin jr errol > private folders > corp info/announcements
11,private folders > business
12,janie
13,older than 30
14,pr crisis management
15,projects
16,mclaughlin jr errol > private folders > corp info/announcements
17,info3
18,projects > hold
19,personal
20,corp memos
21,pr crisis management
22,phone numbers
23,archive > 2001/10
24,organizational announcements
25,savedmail
26,misc
27,organizational announcements
28,private folders > business
29,projects
30,bankruptcy
31,mclaughlin jr errol > private folders > corp info/announcements
32,archive > 2001/10
33,10 saved
34,enron news
35,esource
36,esource
37,corp memos
38,personal
39,archive > 2001/08
40,dra info
41,enron news
