email_id,folder_pretty
0,california  excess profits tax
1,americas > regulatory
2,new york
3,iso/ pricecaps
4,federal govt affairs
5,ferc
6,california issues > pnw refunds
7,california issues
8,calendar
9,organizational issues
10,gas
11,chris stokley > murray
12,marketing affiliate matters
13,senate testimony re california
14,california issues
15,americas > regulatory
16,california  excess profits tax
17,pipeline matters
18,iso pricecaps
19,mckinsey project
20,2001 budget
21,california issues > western gas
22,calendar
23,senate testimony re california
24,chris stokley > regulatory
25,organization
26,west bank
27,stf > current issues
28,ferc
29,it
30,uniform business rules
31,pipeline matters
32,iso pricecaps
33,california issues > ca refunds
34,national campaign
35,presentations
36,california issues > ca refunds
37,california  working group
38,rto
39,caliornia  investigations
40,california
41,california
42,organizational issues
43,sce deal
44,gas
45,organization
46,california issues > western gas
47,california  working group
48,west
49,federal govt affairs
50,iso/ pricecaps
51,electricity restructuring advisory group
52,internet sites
53,ferc > ferc code of conduct nopr
54,west
55,gas issues
56,federal legislation
57,california issues > pnw refunds
58,gas issues
