exercise_name,variation_name,difficulty_level,target_muscle_group,prime_mover_muscle,secondary_muscle,tertiary_muscle,primary_equipment,num_primary_items,secondary_equipment,num_secondary_items,posture,single_or_double_arm,continuous_or_alternating_arms,grip,load_position_ending,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern_1,movement_pattern_2,movement_pattern_3,plane_of_motion_1,plane_of_motion_2,plane_of_motion_3,body_region,force_type,mechanics,laterality,primary_exercise_classification,time_or_reps,num_sets,time_per_set,rest_time,total_time_seconds,num_reps_per_set,URL
Stability Ball Dead Bug,3 sets of 20 seconds with 40 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,3.0,20.0,40.0,180.0,,https://youtu.be/Sa4ZWmnSC5o
Stability Ball Dead Bug,4 sets of 30 seconds with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,4.0,30.0,45.0,300.0,,https://youtu.be/Sa4ZWmnSC5o
Stability Ball Dead Bug,5 sets of 40 seconds with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,time,5.0,40.0,60.0,500.0,,https://youtu.be/Sa4ZWmnSC5o
Stability Ball Dead Bug,3 sets of 12 reps with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,3.0,40.0,45.0,255.0,12.0,https://youtu.be/Sa4ZWmnSC5o
Stability Ball Dead Bug,4 sets of 15 reps with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,rep,4.0,60.0,60.0,480.0,15.0,https://youtu.be/Sa4ZWmnSC5o
Bodyweight Glute Bridge,3 sets of 10 reps with 30 seconds rest,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,rep,3.0,30.0,30.0,150.0,10.0,https://youtu.be/wPM8icPu6H8
Bodyweight Glute Bridge,4 sets of 15 reps with 60 seconds rest,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,rep,4.0,45.0,60.0,360.0,15.0,https://youtu.be/wPM8icPu6H8
Bodyweight Glute Bridge,5 sets of 20 reps with 90 seconds rest,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,rep,5.0,60.0,90.0,660.0,20.0,https://youtu.be/wPM8icPu6H8
Bodyweight Glute Bridge,3 sets of 20 seconds hold with 60 seconds rest,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,time,3.0,20.0,60.0,180.0,,https://youtu.be/wPM8icPu6H8
Bodyweight Glute Bridge,4 sets of 30 seconds hold with 90 seconds rest,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,time,4.0,30.0,90.0,390.0,,https://youtu.be/wPM8icPu6H8
