email_id,folder_pretty
0,lm6000
1,off balance sheet form contracts
2,lm6000
3,chicago
4,off balance sheet form contracts
5,off balance sheet form contracts
6,lm6000
7,ge general
8,off balance sheet form contracts
9,ge general
10,lm6000
11,off balance sheet form contracts
12,ge general
13,ge general
14,lm6000
15,lm6000
16,ge general
17,lm6000
18,americas > portland
19,off balance sheet form contracts
20,off balance sheet form contracts
21,ge general
22,off balance sheet form contracts
23,off balance sheet form contracts
24,archive > 2001/07
25,florida
26,off balance sheet form contracts
27,ge general
28,misc
29,ge general
30,lm6000
31,lm6000
32,ge general
33,general stuff
34,ge general
35,off balance sheet form contracts
36,ge general
37,general stuff
38,lm6000
39,lm6000
